"minute","second","possession","under_pressure","counterpress","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","duel.type.id","duel.type.name","duel.outcome.id","duel.outcome.name","match_id","location_x","location_y"
0,18,3,TRUE,NA,772,"Spain",4,"From Throw In",785,"Croatia",8773,"Marin Pongracic",5,"Left Center Back",10,"Aerial Lost",NA,NA,3930160,"72.6","10.2"
2,46,4,TRUE,NA,785,"Croatia",8,"From Keeper",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",10,"Aerial Lost",NA,NA,3930160,"62.1","37.9"
3,35,5,TRUE,NA,785,"Croatia",3,"From Free Kick",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",11,"Tackle",14,"Lost Out",3930160,"76.5","2.5"
7,30,12,TRUE,TRUE,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",11,"Tackle",17,"Success Out",3930160,"93","3.8"
8,35,13,TRUE,NA,772,"Spain",4,"From Throw In",785,"Croatia",5469,"Marcelo Brozović",10,"Center Defensive Midfield",11,"Tackle",13,"Lost In Play",3930160,"35.8","53.4"
9,0,14,TRUE,TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",49337,"Josip Stanišić",2,"Right Back",10,"Aerial Lost",NA,NA,3930160,"36.9","65.8"
10,22,16,TRUE,NA,785,"Croatia",7,"From Goal Kick",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",10,"Aerial Lost",NA,NA,3930160,"56.5","4.2"
11,42,19,TRUE,TRUE,785,"Croatia",7,"From Goal Kick",785,"Croatia",8773,"Marin Pongracic",5,"Left Center Back",11,"Tackle",16,"Success In Play",3930160,"16.4","32.4"
18,27,31,TRUE,NA,772,"Spain",4,"From Throw In",785,"Croatia",33018,"Joško Gvardiol",6,"Left Back",11,"Tackle",14,"Lost Out",3930160,"49.5","2.7"
19,56,35,TRUE,NA,785,"Croatia",4,"From Throw In",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",10,"Aerial Lost",NA,NA,3930160,"55.9","35.4"
